timestamp,applied,status,hash,old_path,new_path,note
2026-06-30T15:19:48+08:00,yes,rename,C6C55FC6BFA4CB64,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_22.10.25 DY视频一则_..._0.mp4,F:\260629_客户补充物料\十周年采访物料\十周年采访物料_video_22.10.25 DY视频一则_..._0_C6C55FC6BFA4CB64.mp4,
2026-06-30T15:19:48+08:00,yes,rename,437A28149A4E7280,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\【尖叫之夜尖叫明星白鹿】轻舟已过万重山，不止24年，以后的每一年越来越好.mp4,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\【尖叫之夜尖叫明星白鹿】轻舟已过万重山，不止24年，以后的每一年越来越好_437A28149A4E7280.mp4,
2026-06-30T15:19:48+08:00,yes,rename,637208A1A5D138AF,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1642081007945.mp4.mp4,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1642081007945.mp4_637208A1A5D138AF.mp4,
2026-06-30T15:19:48+08:00,yes,rename,3298C341F7C96DFE,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-07 021057(1).jpg,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\爱奇艺2025年度观众瞩目演员\图\2024-12-07 021057(1)_3298C341F7C96DFE.jpg,
2026-06-30T15:19:48+08:00,yes,rename,5586751EC29503AB,F:\260629_客户补充物料\影视作品及高光片段\凤求凰\VID_20251226_223618.mp4,F:\260629_客户补充物料\影视作品及高光片段\凤求凰\VID_20251226_223618_5586751EC29503AB.mp4,
2026-06-30T15:19:48+08:00,yes,rename,A2F7B3B7D153155B,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\0129-白烁成长向收官.mp4,F:\260629_客户补充物料\影视作品及高光片段\2025白月梵星\0129-白烁成长向收官_A2F7B3B7D153155B.mp4,
2026-06-30T15:19:48+08:00,yes,rename,A5F3ED21C766C6E3,F:\260629_客户补充物料\获奖视频\2025奖项\5.国际流媒体人气奖2.jpg,F:\260629_客户补充物料\获奖视频\2025奖项\5.国际流媒体人气奖2_A5F3ED21C766C6E3.jpg,
2026-06-30T15:19:48+08:00,yes,rename,7AB207CCDA21C412,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\【白鹿】2024微博之夜「微博年度热度演员」｜250111 白鹿 罗云熙 刘宇宁 王鹤棣.mp4,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\【白鹿】2024微博之夜「微博年度热度演员」｜250111 白鹿 罗云熙 刘宇宁 王鹤棣_7AB207CCDA21C412.mp4,
2026-06-30T15:19:48+08:00,yes,rename,7AC5D7AC08873EE4,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\11.5 《北上》微博视界大会年度期待作品\微博视界大会演讲.mov,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\11.5 《北上》微博视界大会年度期待作品\微博视界大会演讲_7AC5D7AC08873EE4.mov,
2026-06-30T15:19:48+08:00,yes,rename,28642FDF627CCE6C,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144326.heic,F:\260629_客户补充物料\获奖视频\白鹿获奖视频\1.13 2023年度微博之夜 年度瞩目演员\现场图及鹿微博奖杯图\2024-11-07 144326_28642FDF627CCE6C.heic,
